BookTitle,Href
The A.B.C. Murders,/books/eb0854fb-0a83-467c-88f8-c0344ee17d61
About a Boy,/books/f13e4b5b-a0c3-4b75-8db7-5f63d3a9186c
About Schmidt,/books/4fae233e-0cff-4b7f-a63c-1ce092c5ede9
Absolute Power,/books/d4c9fcae-72a9-4b71-abe5-cb7c9e939b6b
The Accidental Tourist,/books/be2581bd-e06c-4c24-bcb0-cc957bb8123c
The Adventures of Huckleberry Finn,/books/266a7be1-ee3d-48d5-91c4-3a8f1ebaef34
The Adventures of Pinocchio,/books/d845c692-a3e7-4491-9be3-44faa0d9f87a
The Adventures of Sherlock Holmes,/books/99df749f-ca5b-42f4-81a6-a94edbf59a0e
The Adventures of Tom Sawyer,/books/55885e7e-f397-45bf-8d7b-7965fbca869d
Advise and Consent,/books/f5f2fbc7-e5a8-4d3d-b84e-cf794bb9c601
Aelita,/books/60209eea-8e7c-4444-97b4-5f64ac750069
After Dark,/books/ebaa624c-67ea-4817-ac3f-88d0fa3dff50
After the Funeral,/books/398d0868-7e82-4a40-b7b6-c5d6a59b3039
The Agony and the Ecstasy,/books/9063af16-0f62-4ae3-8c1a-6feddde21cbc
All Fall Down,/books/e93e5559-bb98-471e-a291-a93418c05dd0
All the Brothers Were Valiant,/books/f4aa17c4-34e5-4c35-aa5e-b10c7bc6337f
All the Pretty Horses,/books/9bdc82eb-e4b9-414e-ab54-602fdc8baabc
All You Need Is Kill,/books/edabcf15-c15a-4ef2-b401-e82d092e7828
Almayer's Folly: A Story of an Eastern River,/books/6bd2abe7-8398-451f-bc7a-3b5c25b80763
Along Came a Spider,/books/e5e28035-000a-4a05-be38-37f80d09378d
Always Another Dawn: The Story Of A Rocket Test Pilot,/books/c5cfea21-3ffd-4e71-8b94-1ecf45a654f6
"Always Outnumbered, Always Outgunned",/books/9cc6e2ac-2937-42fd-beae-db762c152d81
American Psycho,/books/8cdf5e37-2a8f-4496-bba6-cc2aae73d02e
American Splendor: The Life and Times of Harvey Pekar,/books/e43b646b-ad67-4b09-8235-d25f9a3d4045
Amerika,/books/6abf9444-5de9-4afc-8c81-3d9ae88e5465
Across 110th,/books/5bc91680-3d6a-4594-bb18-774e2a17e964
The Da Vinci Code,/books/a8447cbe-fd7e-4227-9195-524c3a76fdda
The Dark Fields,/books/14b3d008-15fc-4a56-8bc9-3e325e06e63a
Dear John,/books/b5fd26d7-1ee6-4011-9563-19743c31ddf6
Doctor Sleep,/books/53476150-6908-416f-8d6a-07268a5d0659
Emma,/books/db5bad36-6dc5-4404-a8f9-1cdbe388ec39
Father of the Bride,/books/ac95369e-932d-4efb-92bf-d5b24d94b7ee
Firestarter,/books/a4080bc7-5a79-4514-8cb7-a3f47830a946
